valid_month,metric,lead_days,rain_group,n_forecasts,n_valid_days,mae_c,bias_c
9,Tmin,1,under_10_mm,89,89,0.648,-0.291
9,Tmin,2,at_least_10_mm,31,31,1.032,0.8
9,Tmin,2,under_10_mm,89,89,0.801,-0.448
9,Tmin,3,at_least_10_mm,31,31,1.181,0.897
9,Tmin,3,under_10_mm,89,89,0.864,-0.493
9,Tmin,4,at_least_10_mm,31,31,1.2,0.994
9,Tmin,4,under_10_mm,89,89,0.884,-0.538
9,Tmin,5,at_least_10_mm,31,31,1.168,1.026
9,Tmin,5,under_10_mm,89,89,0.954,-0.572
9,Tmin,6,at_least_10_mm,31,31,1.187,1.026
9,Tmin,6,under_10_mm,89,89,0.904,-0.561
9,Tmin,7,at_least_10_mm,31,31,1.284,1.187
9,Tmin,7,under_10_mm,89,89,0.943,-0.583
9,Tmin,8,at_least_10_mm,31,31,1.394,1.316
9,Tmin,8,under_10_mm,89,89,1.006,-0.583
9,Tmin,9,at_least_10_mm,31,31,1.426,1.348
9,Tmin,9,under_10_mm,89,89,1.033,-0.572
10,Tmax,1,at_least_10_mm,7,7,0.943,0.314
10,Tmax,1,under_10_mm,117,117,0.751,-0.139
10,Tmax,2,at_least_10_mm,7,7,1.229,0.314
10,Tmax,2,under_10_mm,117,117,0.984,-0.25
10,Tmax,3,at_least_10_mm,7,7,1.657,0.743
10,Tmax,3,under_10_mm,117,117,1.02,-0.268
10,Tmax,4,at_least_10_mm,7,7,2.371,1.457
10,Tmax,4,under_10_mm,117,117,1.032,-0.268
10,Tmax,5,at_least_10_mm,7,7,2.086,1.457
10,Tmax,5,under_10_mm,117,117,1.184,-0.233
10,Tmax,6,at_least_10_mm,7,7,2.371,1.743
10,Tmax,6,under_10_mm,117,117,1.233,-0.276
10,Tmax,7,at_least_10_mm,7,7,2.514,2.171
10,Tmax,7,under_10_mm,117,117,1.273,-0.259
10,Tmax,8,at_least_10_mm,7,7,2.6,2.457
10,Tmax,8,under_10_mm,117,117,1.408,-0.293
10,Tmax,9,at_least_10_mm,7,7,3.171,3.171
10,Tmax,9,under_10_mm,117,117,1.515,-0.259
10,Tmin,1,at_least_10_mm,7,7,0.743,0.171
10,Tmin,1,under_10_mm,117,117,0.635,-0.35
10,Tmin,2,at_least_10_mm,7,7,0.6,0.314
10,Tmin,2,under_10_mm,117,117,0.837,-0.298
10,Tmin,3,at_least_10_mm,7,7,0.743,0.457
10,Tmin,3,under_10_mm,117,117,0.84,-0.315
10,Tmin,4,at_least_10_mm,7,7,0.914,0.743
10,Tmin,4,under_10_mm,117,117,0.871,-0.332
10,Tmin,5,at_least_10_mm,7,7,0.914,0.743
10,Tmin,5,under_10_mm,117,117,1.033,-0.332
10,Tmin,6,at_least_10_mm,7,7,1.2,1.029
10,Tmin,6,under_10_mm,117,117,1.109,-0.332
10,Tmin,7,at_least_10_mm,7,7,1.629,1.457
10,Tmin,7,under_10_mm,117,117,1.141,-0.273
10,Tmin,8,at_least_10_mm,7,7,1.886,1.886
10,Tmin,8,under_10_mm,117,117,1.196,-0.247
10,Tmin,9,at_least_10_mm,7,7,2.171,2.171
10,Tmin,9,under_10_mm,117,117,1.201,-0.153
11,Tmax,1,at_least_10_mm,6,6,1.417,1.417
11,Tmax,1,under_10_mm,114,114,0.691,0.046
11,Tmax,2,at_least_10_mm,6,6,1.583,1.583
11,Tmax,2,under_10_mm,114,114,0.844,0.089
11,Tmax,3,at_least_10_mm,6,6,1.583,1.583
11,Tmax,3,under_10_mm,114,114,0.921,0.116
11,Tmax,4,at_least_10_mm,6,6,2.083,2.083
11,Tmax,4,under_10_mm,114,114,1.011,0.151
11,Tmax,5,at_least_10_mm,6,6,2.417,2.417
11,Tmax,5,under_10_mm,114,114,1.084,0.221
11,Tmax,6,at_least_10_mm,6,6,3.25,3.25
11,Tmax,6,under_10_mm,114,114,1.205,0.177
11,Tmax,7,at_least_10_mm,6,6,3.917,3.917
11,Tmax,7,under_10_mm,114,114,1.326,0.204
11,Tmax,8,at_least_10_mm,6,6,3.917,3.917
11,Tmax,8,under_10_mm,114,114,1.414,0.212
11,Tmax,9,at_least_10_mm,6,6,4.083,4.083
11,Tmax,9,under_10_mm,114,114,1.633,0.388
11,Tmin,1,at_least_10_mm,6,6,0.8,-0.133
11,Tmin,1,under_10_mm,114,114,0.632,-0.318
11,Tmin,2,at_least_10_mm,6,6,0.867,0.867
11,Tmin,2,under_10_mm,114,114,0.674,-0.318
11,Tmin,3,at_least_10_mm,6,6,0.867,0.867
11,Tmin,3,under_10_mm,114,114,0.781,-0.37
11,Tmin,4,at_least_10_mm,6,6,1.2,1.2
11,Tmin,4,under_10_mm,114,114,0.865,-0.344
11,Tmin,5,at_least_10_mm,6,6,1.5,1.2
11,Tmin,5,under_10_mm,114,114,0.989,-0.37
11,Tmin,6,at_least_10_mm,6,6,1.7,1.7
11,Tmin,6,under_10_mm,114,114,1.189,-0.396
11,Tmin,7,at_least_10_mm,6,6,1.867,1.867
11,Tmin,7,under_10_mm,114,114,1.384,-0.388
11,Tmin,8,at_least_10_mm,6,6,1.867,1.867
11,Tmin,8,under_10_mm,114,114,1.486,-0.256
11,Tmin,9,at_least_10_mm,6,6,1.867,1.867
11,Tmin,9,under_10_mm,114,114,1.612,-0.081
12,Tmax,1,under_10_mm,124,124,0.757,-0.122
12,Tmax,2,under_10_mm,124,124,0.998,0.007
12,Tmax,3,under_10_mm,124,124,1.06,0.04
12,Tmax,4,under_10_mm,124,124,1.146,0.064
12,Tmax,5,under_10_mm,124,124,1.185,0.048
12,Tmax,6,under_10_mm,124,124,1.312,0.104
12,Tmax,7,under_10_mm,124,124,1.512,0.064
12,Tmax,8,under_10_mm,124,124,1.63,0.104
12,Tmax,9,under_10_mm,123,123,1.873,0.202
12,Tmin,1,under_10_mm,124,124,0.658,-0.374
12,Tmin,2,under_10_mm,124,124,0.692,-0.14
12,Tmin,3,under_10_mm,124,124,0.721,-0.108
12,Tmin,4,under_10_mm,124,124,0.831,-0.027
12,Tmin,5,under_10_mm,124,124,0.947,0.013
12,Tmin,6,under_10_mm,124,124,1.069,0.085
12,Tmin,7,under_10_mm,124,124,1.148,0.094
12,Tmin,8,under_10_mm,124,124,1.292,0.134
12,Tmin,9,under_10_mm,123,123,1.513,0.233
